Číslo inzerátu:,Internet:,Dispozice:,Plocha:,Cena:,Poplatky:,Vratná kauce:,Město:,Městská část:,Typ vlastnictví:,Typ budovy:,Vybavenost:,Podlaží:,Balkón:,Terasa:,Výtah:,Garáž:,Provedení:,Typ vytápění:,Podlaží v rámci domu:,Předzahrádka:,Rekonstrukce:,lat,long,K dispozici od:,PENB:,Stáří:,Novostavba:
622801,,1+1,73.0,33750.0,11.250 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0918112,14.4330353,21. 09. 2020,,,
622712,,1+kk,33.0,24750.0,8.250 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ano,Ne,,,,,,50.0789145,14.4254272,21. 09. 2020,,,
622707,,3+1,86.0,22125.0,7.375 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0813392,14.4217547,21. 09. 2020,,,
622669,,1+kk,23.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622668,,1+kk,30.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ne,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622834,,2+1,46.0,18225.0,6.075 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ne,Ne,,,,,,50.0750805,14.429278,21. 09. 2020,,,
622696,,2+1,85.0,35625.0,11.875 Kč,,Praha,Nové Město,,,Vybavený,2,Ano,Ne,Ano,Ne,,,,,,50.0715639,14.4145454,21. 09. 2020,,,
622667,,2+kk,39.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622581,,1+kk,32.0,15750.0,5.250 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.091097,14.4302287,21. 09. 2020,,,
622778,,3+kk,85.0,26250.0,8.750 Kč,,Praha,Nové Město,,,Vybavený,5,Ano,Ne,Ano,Ne,,,,,,50.0706439,14.4164891,21. 09. 2020,,,
622697,,4+kk,70.0,27000.0,9.000 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ano,Ne,,,,,,50.0913707,14.4312801,21. 09. 2020,,,
622685,,2+kk,60.0,20250.0,6.750 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0706439,14.4164891,03. 11. 2020,,,
622666,,1+kk,20.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,1,Ne,Ne,Ne,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622663,,1+kk,33.0,21587.0,7.196 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
